x,y,z,ax,ay,az,aw
11.1112,0.0,0.0,0.0,0.0,0.004914687684331492,
11.1112,0.0,0.0,0.0,0.0,0.004914687684331492,
11.1112,0.0,0.0,0.0,0.0,0.004914687684331492,
11.1112,0.0,0.0,0.0,0.0,0.004375567229704254,
11.1112,0.0,0.0,0.0,0.0,0.004375567229704254,
11.1112,0.0,0.0,0.0,0.0,0.004375567229704254,
11.1112,0.0,0.0,0.0,0.0,0.003875743357149193,
11.1112,0.0,0.0,0.0,0.0,0.003875743357149193,
11.1112,0.0,0.0,0.0,0.0,0.003875743357149193,
11.1112,0.0,0.0,0.0,0.0,0.003670337052045085,
11.1112,0.0,0.0,0.0,0.0,0.0033502019309183807,
11.1112,0.0,0.0,0.0,0.0,0.0033502019309183807,
11.1112,0.0,0.0,0.0,0.0,0.00300915473698878,
11.1112,0.0,0.0,0.0,0.0,0.00300915473698878,
11.1112,0.0,0.0,0.0,0.0,0.00300915473698878,
11.1112,0.0,0.0,0.0,0.0,0.002719207947365106,
11.1112,0.0,0.0,0.0,0.0,0.002665791779782063,
11.1112,0.0,0.0,0.0,0.0,0.002665791779782063,
11.1112,0.0,0.0,0.0,0.0,0.002350279558281404,
11.1112,0.0,0.0,0.0,0.0,0.002350279558281404,
11.1112,0.0,0.0,0.0,0.0,0.002350279558281404,
11.1112,0.0,0.0,0.0,0.0,0.0021170897484110275,
11.1112,0.0,0.0,0.0,0.0,0.0020378478994095423,
11.1112,0.0,0.0,0.0,0.0,0.0020378478994095423,
11.1112,0.0,0.0,0.0,0.0,0.0020378478994095423,
11.1112,0.0,0.0,0.0,0.0,0.0017707138232149666,
11.1112,0.0,0.0,0.0,0.0,0.0017707138232149666,
11.1112,0.0,0.0,0.0,0.0,0.0015900207836687323,
11.1112,0.0,0.0,0.0,0.0,0.0015624193553006821,
11.1112,0.0,0.0,0.0,0.0,0.0015624193553006821,
11.1112,0.0,0.0,0.0,0.0,0.0015624193553006821,
11.1112,0.0,0.0,0.0,0.0,0.001333800074687013,
11.1112,0.0,0.0,0.0,0.0,0.001333800074687013,
11.1112,0.0,0.0,0.0,0.0,0.001333800074687013,
11.1112,0.0,0.0,0.0,0.0,0.0010918461194973587,
11.1112,0.0,0.0,0.0,0.0,0.0010918461194973587,
11.1112,0.0,0.0,0.0,0.0,0.0010918461194973587,
11.1112,0.0,0.0,0.0,0.0,0.0008999552589311079,
11.1112,0.0,0.0,0.0,0.0,0.0008999552589311079,
11.1112,0.0,0.0,0.0,0.0,0.0008999552589311079,
