x,y
1429.47,1172.73
1429.91,1172.67
1430.35,1172.62
1431.22,1172.51
1432.54,1172.34
1433.41,1172.23
1433.85,1172.17
1434.73,1172.06
1436.04,1171.9
1436.48,1171.84
1437.36,1171.73
1437.8,1171.68
1438.68,1171.57
1439.56,1171.46
1440.44,1171.35
1441.31,1171.24
1441.75,1171.18
1443.51,1170.96
1443.94,1170.9
1444.38,1170.85
1444.82,1170.79
1445.7,1170.68
1447.01,1170.51
1447.89,1170.4
1448.32,1170.34
1449.2,1170.23
1450.52,1170.06
1450.95,1170.01
1451.83,1169.9
1452.27,1169.84
1453.14,1169.73
1454.45,1169.56
1455.33,1169.45
1455.77,1169.39
1456.21,1169.34
1457.52,1169.17
1458.39,1169.06
1458.83,1169.0
1459.71,1168.89
1460.58,1168.78
1461.46,1168.66
1462.34,1168.55
1463.21,1168.44
1463.65,1168.38
1464.96,1168.22
1465.84,1168.1
1466.28,1168.05
1466.71,1167.99
1468.03,1167.82
1468.91,1167.71
1469.78,1167.6
1470.22,1167.54
1471.1,1167.43
1471.97,1167.32
1472.85,1167.21
1473.29,1167.15
1474.16,1167.04
1475.48,1166.88
1475.92,1166.82
1476.8,1166.71
1477.23,1166.66
1478.11,1166.55
1479.43,1166.39
1479.87,1166.33
1480.74,1166.22
1481.18,1166.17
1482.5,1166.01
1483.38,1165.91
1483.81,1165.85
1484.25,1165.8
1485.13,1165.7
1486.45,1165.54
1486.88,1165.49
1487.76,1165.39
1488.2,1165.33
1489.52,1165.18
1489.95,1165.13
1490.83,1165.02
1491.27,1164.97
1492.15,1164.87
1493.03,1164.77
1493.9,1164.66
1494.34,1164.61
1495.22,1164.51
1496.54,1164.37
1496.98,1164.32
1497.42,1164.27
1498.29,1164.17
1498.73,1164.12
1500.05,1163.98
1500.93,1163.88
1501.37,1163.84
1502.25,1163.75
1503.13,1163.66
1504.01,1163.57
1504.45,1163.52
1504.89,1163.48
1505.77,1163.39
1507.09,1163.26
1507.53,1163.22
1508.41,1163.13
1508.85,1163.09
1510.17,1162.96
1510.61,1162.92
1511.49,1162.84
1511.93,1162.8
1512.81,1162.71
1514.13,1162.59
1514.57,1162.55
1515.45,1162.47
1515.89,1162.43
1517.21,1162.31
1517.65,1162.28
1518.53,1162.2
1518.97,1162.16
1519.85,1162.09
1521.17,1161.98
1521.61,1161.94
1522.49,1161.87
1522.93,1161.83
1524.25,1161.72
1525.14,1161.64
1525.58,1161.61
1526.02,1161.57
1526.9,1161.5
1528.22,1161.39
1529.1,1161.31
1529.54,1161.28
1529.98,1161.24
1531.3,1161.13
1532.18,1161.05
1532.62,1161.02
1533.07,1160.98
1533.95,1160.9
1535.27,1160.79
1536.15,1160.72
1536.59,1160.68
1537.03,1160.64
1538.35,1160.53
1539.23,1160.45
1539.67,1160.41
1540.55,1160.34
1541.87,1160.22
1542.31,1160.18
1543.19,1160.1
1543.63,1160.05
1544.51,1159.97
1545.39,1159.89
1546.27,1159.81
1547.15,1159.73
1547.59,1159.68
1548.91,1159.56
1549.79,1159.48
1550.22,1159.44
1551.11,1159.36
1551.54,1159.32
1552.87,1159.2
1553.74,1159.12
1554.18,1159.09
1555.06,1159.01
1556.38,1158.89
1556.82,1158.86
1557.7,1158.78
1558.14,1158.74
1559.02,1158.67
1560.34,1158.56
1561.23,1158.49
1561.67,1158.45
1562.55,1158.38
1563.43,1158.32
1564.31,1158.25
1564.75,1158.21
1565.63,1158.15
1566.95,1158.05
1567.4,1158.02
1568.28,1157.95
1568.72,1157.92
1569.6,1157.86
1570.48,1157.8
1571.37,1157.75
1571.81,1157.72
1572.69,1157.66
1574.01,1157.57
1574.45,1157.54
1575.34,1157.48
1575.78,1157.46
1576.66,1157.4
1577.54,1157.34
1578.42,1157.28
1579.3,1157.22
1579.75,1157.19
1581.51,1157.08
1581.95,1157.05
1582.39,1157.02
1582.83,1156.99
1583.71,1156.93
1585.03,1156.85
1585.91,1156.79
1586.36,1156.76
1587.24,1156.7
1588.56,1156.61
1589.0,1156.58
1589.88,1156.52
1590.33,1156.49
1591.21,1156.43
1592.53,1156.34
1593.41,1156.28
1593.85,1156.25
1594.29,1156.22
1595.62,1156.13
1596.5,1156.07
1597.38,1156.0
1597.82,1155.97
1598.7,1155.91
1600.02,1155.81
1600.46,1155.78
1601.35,1155.71
1601.79,1155.67
1603.11,1155.57
1603.99,1155.49
1604.43,1155.45
1604.87,1155.42
1606.19,1155.3
1607.07,1155.23
1607.51,1155.19
1608.39,1155.11
1609.27,1155.02
1610.15,1154.94
1611.03,1154.85
1611.47,1154.81
1612.35,1154.72
1613.67,1154.58
1614.11,1154.54
1614.99,1154.44
1615.43,1154.4
1616.31,1154.3
1617.62,1154.16
1618.5,1154.06
1618.94,1154.01
1619.82,1153.91
1621.14,1153.77
1621.58,1153.72
1622.45,1153.62
1622.89,1153.57
1624.21,1153.41
1625.09,1153.31
1625.53,1153.26
1626.4,1153.15
1627.72,1153.0
1628.6,1152.89
1629.04,1152.84
1629.47,1152.79
1631.23,1152.59
1631.67,1152.54
1632.55,1152.45
1632.99,1152.4
1634.31,1152.26
1635.19,1152.16
1635.63,1152.12
1636.51,1152.02
1637.83,1151.89
1638.27,1151.84
1639.14,1151.76
1639.59,1151.71
1640.91,1151.58
1641.79,1151.5
1642.66,1151.41
1643.1,1151.37
1644.42,1151.24
1645.3,1151.16
1645.74,1151.12
1646.62,1151.04
1647.94,1150.93
1648.38,1150.89
1649.26,1150.81
1649.7,1150.77
1651.02,1150.66
1651.9,1150.59
1652.34,1150.55
1653.23,1150.48
1654.55,1150.37
1654.99,1150.34
1655.87,1150.27
1656.31,1150.23
1657.19,1150.16
1658.52,1150.06
1659.4,1149.98
1659.84,1149.95
1660.72,1149.88
1661.6,1149.81
1662.48,1149.74
1663.37,1149.67
1663.81,1149.63
1665.13,1149.53
1666.02,1149.46
1666.45,1149.43
1667.34,1149.36
1668.66,1149.26
1669.1,1149.22
1669.98,1149.15
1670.42,1149.12
1671.74,1149.02
1672.62,1148.95
1673.07,1148.91
1673.95,1148.85
1675.27,1148.74
1676.15,1148.68
1676.6,1148.64
1677.03,1148.61
1678.36,1148.5
1679.24,1148.43
1680.12,1148.36
1680.56,1148.32
1681.88,1148.21
1682.77,1148.14
1683.65,1148.07
1684.09,1148.03
1685.41,1147.92
1686.29,1147.85
1686.73,1147.82
1687.61,1147.74
1688.93,1147.63
1689.38,1147.6
1690.26,1147.53
1690.7,1147.49
1692.02,1147.38
1692.9,1147.31
1693.79,1147.23
1694.23,1147.2
1695.55,1147.09
1696.43,1147.01
1697.31,1146.94
1697.75,1146.9
1699.07,1146.79
1699.95,1146.72
1700.84,1146.64
1701.28,1146.61
1702.6,1146.49
1703.48,1146.42
1704.36,1146.35
1704.8,1146.31
1706.12,1146.2
1707.0,1146.12
1707.88,1146.05
1708.76,1145.98
1710.09,1145.88
1710.97,1145.81
1711.41,1145.77
1712.29,1145.7
1713.62,1145.6
1714.5,1145.53
1714.94,1145.49
1715.82,1145.42
1717.14,1145.32
1718.03,1145.26
1718.47,1145.22
1719.35,1145.16
1720.67,1145.06
1721.55,1145.0
1721.99,1144.97
1722.88,1144.9
1724.2,1144.81
1725.08,1144.75
1725.52,1144.72
1726.41,1144.66
1727.73,1144.58
1728.61,1144.52
1729.05,1144.49
1729.93,1144.43
1731.26,1144.35
1732.14,1144.3
1732.58,1144.27
1733.46,1144.21
1734.79,1144.13
1735.67,1144.08
1736.11,1144.06
1736.99,1144.0
1737.87,1143.95
1738.76,1143.9
1739.2,1143.87
1740.08,1143.82
1741.4,1143.75
1742.28,1143.7
1742.73,1143.67
1743.61,1143.62
1744.93,1143.55
1745.81,1143.5
1746.25,1143.47
1747.13,1143.42
1748.46,1143.34
1749.34,1143.29
1749.78,1143.26
1750.66,1143.21
1751.54,1143.15
1752.42,1143.1
1753.31,1143.04
1753.75,1143.01
1755.07,1142.93
1755.95,1142.87
1756.4,1142.85
1757.28,1142.79
1758.6,1142.7
1759.48,1142.65
1759.92,1142.62
1760.81,1142.57
1761.69,1142.51
1762.57,1142.45
1763.45,1142.4
1763.89,1142.37
1765.21,1142.28
1766.1,1142.22
1766.54,1142.19
1767.42,1142.13
1768.74,1142.05
1769.62,1141.99
1770.06,1141.96
1770.5,1141.93
1771.83,1141.85
1772.71,1141.79
1773.15,1141.76
1774.03,1141.7
1775.35,1141.62
1775.79,1141.59
1776.67,1141.53
1777.11,1141.5
1778.43,1141.42
1779.32,1141.36
1779.76,1141.34
1780.64,1141.28
1781.52,1141.23
1782.4,1141.17
1783.29,1141.12
1783.73,1141.09
1784.61,1141.04
1785.93,1140.96
1786.82,1140.91
1787.26,1140.88
1788.14,1140.83
1788.58,1140.81
1789.9,1140.73
1790.78,1140.68
1791.22,1140.65
1792.11,1140.61
1793.42,1140.53
1793.87,1140.51
1794.75,1140.47
1795.19,1140.44
1796.07,1140.4
1796.95,1140.36
1797.84,1140.32
1798.28,1140.31
1799.16,1140.27
1800.49,1140.23
1800.93,1140.22
1801.37,1140.2
1802.26,1140.18
1802.7,1140.17
1804.03,1140.14
1804.91,1140.12
1805.35,1140.12
1805.79,1140.11
1807.11,1140.09
1807.99,1140.09
1808.44,1140.09
1808.88,1140.08
1809.76,1140.09
1810.64,1140.09
1811.52,1140.1
1811.96,1140.1
1812.4,1140.11
1813.73,1140.13
1814.61,1140.15
1815.05,1140.16
1815.49,1140.17
1816.38,1140.2
1817.26,1140.23
1818.14,1140.26
1818.58,1140.28
1819.46,1140.31
1820.79,1140.37
1821.23,1140.39
1821.67,1140.41
1822.56,1140.45
1823.0,1140.47
1824.32,1140.55
1824.76,1140.57
1825.64,1140.62
1826.09,1140.65
1827.41,1140.73
1827.85,1140.76
1828.73,1140.82
1829.17,1140.85
1830.05,1140.92
1830.93,1140.98
1831.81,1141.05
1832.25,1141.09
1832.69,1141.12
1834.01,1141.23
1834.89,1141.3
1835.33,1141.34
1835.77,1141.37
1836.65,1141.45
1837.53,1141.53
1838.41,1141.61
1838.85,1141.65
1839.29,1141.69
1840.17,1141.78
1841.05,1141.87
1841.93,1141.95
1842.37,1142.0
1843.25,1142.09
1843.68,1142.13
1845.0,1142.26
1845.44,1142.31
1845.88,1142.36
1846.76,1142.44
1847.2,1142.49
1848.52,1142.63
1848.96,1142.67
1849.4,1142.72
1849.84,1142.77
1850.72,1142.86
1851.6,1142.96
1852.47,1143.05
1852.91,1143.1
1853.35,1143.15
1854.23,1143.25
1855.11,1143.35
1855.54,1143.4
1855.98,1143.46
1856.86,1143.56
1857.3,1143.62
1858.17,1143.72
1859.05,1143.83
1859.49,1143.89
1859.92,1143.94
1860.8,1144.06
1862.11,1144.23
1862.55,1144.29
1862.99,1144.35
1863.42,1144.41
1863.86,1144.47
1865.17,1144.65
1865.61,1144.71
1866.05,1144.78
1866.49,1144.84
1866.92,1144.9
1867.8,1145.04
1868.67,1145.17
1869.11,1145.24
1869.54,1145.31
1869.98,1145.38
1870.85,1145.52
1871.72,1145.67
1872.16,1145.74
1873.03,1145.88
1873.46,1145.96
1873.9,1146.03
1874.34,1146.11
1875.64,1146.34
1876.08,1146.41
1876.51,1146.49
1876.94,1146.57
1877.81,1146.73
1878.68,1146.89
1879.12,1146.97
1879.55,1147.05
1879.98,1147.13
1880.85,1147.3
1881.29,1147.38
1882.15,1147.55
1883.02,1147.71
1883.45,1147.8
1883.88,1147.88
1884.32,1147.97
1885.19,1148.14
1885.62,1148.22
1886.05,1148.31
1886.48,1148.4
1887.35,1148.58
1887.78,1148.67
1888.65,1148.85
1889.08,1148.94
1889.51,1149.04
1890.38,1149.22
1890.81,1149.31
1891.24,1149.4
1892.1,1149.59
1892.96,1149.78
1893.39,1149.88
1893.83,1149.97
1894.26,1150.07
1894.68,1150.17
1895.98,1150.46
1896.41,1150.56
1896.84,1150.66
1897.27,1150.76
1897.7,1150.85
1898.13,1150.95
1899.42,1151.25
1899.85,1151.35
1900.28,1151.45
1900.71,1151.55
1901.14,1151.65
1901.57,1151.74
1902.43,1151.94
1903.29,1152.14
1903.72,1152.24
1904.15,1152.35
1904.59,1152.45
1905.01,1152.55
1905.88,1152.75
1906.3,1152.86
1906.73,1152.96
1907.16,1153.06
1908.02,1153.27
1908.45,1153.38
1909.31,1153.59
1909.74,1153.7
1910.17,1153.8
1910.6,1153.91
1911.03,1154.02
1911.45,1154.13
1911.88,1154.23
1912.74,1154.45
1913.17,1154.56
1913.59,1154.67
1914.02,1154.78
1914.45,1154.89
1915.3,1155.11
1916.16,1155.34
1916.58,1155.45
1917.01,1155.56
1917.44,1155.68
1917.86,1155.79
1918.29,1155.91
1918.72,1156.03
1919.57,1156.26
1920.0,1156.38
1920.42,1156.5
1920.85,1156.62
1921.7,1156.86
1922.12,1156.97
1922.97,1157.22
1923.4,1157.34
1923.82,1157.46
1924.25,1157.58
1924.67,1157.7
1925.1,1157.82
1925.94,1158.07
1926.37,1158.19
1926.79,1158.32
1927.22,1158.44
1927.64,1158.56
1928.49,1158.81
1928.91,1158.94
1929.76,1159.19
1930.18,1159.32
1930.6,1159.44
1931.02,1159.57
1931.44,1159.7
1931.87,1159.83
1932.71,1160.09
1933.13,1160.22
1933.98,1160.48
1934.4,1160.61
1935.24,1160.87
1935.66,1161.0
1936.5,1161.27
1936.92,1161.41
1937.34,1161.54
1937.76,1161.68
1938.18,1161.82
1938.6,1161.96
1939.85,1162.38
1940.27,1162.52
1940.69,1162.67
1941.11,1162.81
1941.52,1162.96
1941.94,1163.1
1942.77,1163.4
1943.18,1163.54
1943.59,1163.69
1944.01,1163.84
1944.42,1163.99
1944.83,1164.15
1945.25,1164.3
1946.07,1164.61
1946.49,1164.76
1946.9,1164.92
1947.31,1165.08
1947.72,1165.23
1948.54,1165.55
1949.36,1165.88
1949.77,1166.04
1950.58,1166.37
1950.99,1166.54
1951.4,1166.7
1951.8,1166.87
1952.62,1167.21
1953.02,1167.38
1953.43,1167.55
1954.24,1167.9
1954.64,1168.07
1955.05,1168.25
1955.85,1168.6
1956.26,1168.78
1956.66,1168.95
1957.06,1169.13
1957.46,1169.31
1957.87,1169.49
1958.27,1169.68
1959.07,1170.04
1959.87,1170.41
1960.27,1170.6
1960.67,1170.78
1961.07,1170.97
1961.47,1171.15
1962.26,1171.53
1963.06,1171.91
1963.45,1172.1
1963.85,1172.3
1964.24,1172.49
1964.64,1172.68
1965.03,1172.88
1965.42,1173.08
1965.81,1173.28
1966.21,1173.47
1966.6,1173.67
1967.38,1174.08
1967.77,1174.28
1968.55,1174.69
1968.93,1174.9
1969.32,1175.1
1969.71,1175.31
1970.09,1175.52
1970.48,1175.73
1970.86,1175.94
1971.63,1176.36
1972.4,1176.79
1972.78,1177.0
1973.16,1177.22
1973.54,1177.43
1973.92,1177.65
1974.69,1178.09
1975.07,1178.31
1975.83,1178.76
1976.2,1178.98
1976.58,1179.21
1976.96,1179.43
1977.71,1179.89
1978.09,1180.12
1978.46,1180.35
1978.84,1180.58
1979.21,1180.81
1979.58,1181.04
1979.95,1181.27
1980.69,1181.74
1981.07,1181.97
1981.44,1182.21
1981.81,1182.44
1982.18,1182.68
1982.92,1183.16
1983.66,1183.64
1984.03,1183.88
1984.4,1184.13
1984.76,1184.37
1985.13,1184.61
1985.49,1184.86
1985.86,1185.1
1986.58,1185.59
1986.95,1185.84
1987.67,1186.34
1988.04,1186.59
1988.4,1186.84
1988.76,1187.09
1989.47,1187.59
1989.83,1187.84
1990.19,1188.09
1990.54,1188.35
1990.9,1188.6
1991.26,1188.86
1992.31,1189.62
1992.66,1189.88
1993.01,1190.14
1993.36,1190.4
1993.7,1190.66
1994.05,1190.92
1994.74,1191.44
1995.08,1191.71
1995.42,1191.97
1995.76,1192.23
1996.1,1192.5
1996.43,1192.76
1997.11,1193.29
1997.77,1193.82
1998.1,1194.09
1998.43,1194.36
1998.76,1194.62
1999.09,1194.89
1999.41,1195.16
2000.06,1195.7
2000.38,1195.97
2000.71,1196.24
2001.03,1196.51
2001.67,1197.06
2001.99,1197.33
2002.63,1197.88
2002.95,1198.16
2003.26,1198.43
2003.58,1198.71
2003.89,1198.98
2004.21,1199.26
2005.15,1200.1
2005.46,1200.38
2005.77,1200.66
2006.08,1200.94
2006.39,1201.23
2006.7,1201.51
2007.31,1202.08
